AQI,AQIStyle,Address,AreaKey,CO,CO_8,CO_PRETXT,CO_VFLAG,CityCode,DataSrc,HO_AQI_VAL,MainPollutant,MainPollutantKey,MonobjName,NO2,NO2_PRETXT,NO2_VFLAG,O3,O3_8,O3_PRETXT,O3_VFLAG,PM10,PM10_AVG,PM10_PRETXT,PM10_VFLAG,PM25,PM25_AVG,PM25_PRETXT,PM25_VFLAG,SO2,SO2_PRETXT,SO2_VFLAG,SiteId,SiteKey,SiteName,THC,THC_VFLAG,Time,lat,lng,x,y
29,AQI1,臺北市大同區重慶北路3段2號,North,2.28,1.50,,1,1,epa,29,細懸浮微粒,PM25,交通,28,,1,-,-,,3,19,20,,1,5,9,,1,3.8,,1,16,Datong,大同,2.7,1,2019-06-11 10:00:00,25.0632,121.513311,117,164
23,AQI1,臺北市中山區林森北路511號,North,1.04,0.60,,1,1,epa,23,二氧化氮,NO2,一般,24,,1,4.9,3,,1,20,18,,1,13,7,,1,1.3,,1,12,Zhongshan,中山,2,1,2019-06-11 10:00:00,25.062361,121.526528,127,171
26,AQI1,桃園市大園區中正東路160號,North,0.3,0.30,,1,33,epa,26,細懸浮微粒,PM25,一般,12,,1,16,8,,1,8,12,,1,13,8,,1,1,,1,18,Dayuan,大園,,,2019-06-11 10:00:00,25.060344,121.201811,331,153
31,AQI1,臺北市松山區八德路4段746號,North,0.49,0.40,,1,1,epa,31,細懸浮微粒,PM25,一般,18,,1,7.7,5,,1,18,21,,1,9,10,,1,1.8,,1,15,Songshan,松山,1.9,1,2019-06-11 10:00:00,25.05,121.578611,141,169
24,AQI1,臺北市萬華區中華路1段66號,North,1.24,0.50,,1,1,epa,24,二氧化氮,NO2,一般,25,,1,1.8,1,,1,21,17,,1,5,3,,1,2.3,,1,13,Wanhua,萬華,,,2019-06-11 10:00:00,25.046503,121.507972,112,176
19,AQI1,新北市新莊區中正路510號,North,0.63,0.40,,1,31,epa,19,二氧化氮,NO2,一般,20,,1,11,5,,1,11,10,,1,3,5,,1,2.4,,1,7,Xinzhuang,新莊,,,2019-06-11 10:00:00,25.037972,121.4325,92,171
15,AQI1,桃園市觀音區文化路2號,North,0.13,0.10,,1,33,epa,15,細懸浮微粒,PM25,背景,2.5,,1,20,13,,1,10,12,,1,4,5,,1,2.2,,1,19,Guanyin,觀音,,,2019-06-11 10:00:00,25.035503,121.082761,311,158
29,AQI1,臺北市大安區羅斯福路3段201號,North,0.93,0.60,,1,1,epa,29,細懸浮微粒,PM25,一般,21,,1,5.6,4,,1,17,13,,1,8,9,,1,2.7,,1,14,Guting,古亭,2.2,1,2019-06-11 10:00:00,25.020608,121.529556,134,185
,AQI0,新北市永和區永和路與光復路交口,North,,0.90,,3,31,epa,22,懸浮微粒,PM10,交通,,,3,,5,,3,,24,,3,,,,3,,,3,70,Yonghe,永和,,3,2019-06-11 10:00:00,25.017,121.516306,116,187
29,AQI1,新北市板橋區文化路1段25號,North,0.72,0.40,,1,31,epa,29,細懸浮微粒,PM25,一般,21,,1,6.8,5,,1,18,18,,1,10,9,,9,2.4,,1,6,Banqiao,板橋,2.2,1,2019-06-11 10:00:00,25.012972,121.458667,96,184
28,AQI1,桃園市桃園區莒光街15號,North,0.5,0.40,,1,33,epa,28,細懸浮微粒,PM25,一般,20,,1,8.4,4,,1,9,12,,1,6,9,,1,3.6,,1,17,Taoyuan,桃園,2.1,1,2019-06-11 10:00:00,24.994728,121.304953,348,166
20,AQI1,新北市土城區學府路1段241號,North,0.38,0.40,,1,31,epa,20,細懸浮微粒,PM25,一般,17,,1,7.5,4,,1,16,17,,1,6,6,,1,2.3,,1,5,Tucheng,土城,1.9,1,2019-06-11 10:00:00,24.982528,121.451861,96,197
11,AQI1,新北市新店區民族路108號,North,0.34,0.30,,1,31,epa,11,細懸浮微粒,PM25,一般,11,,1,9.1,4,,1,8,12,,1,7,3,,1,1.7,,1,4,Xindian,新店,,,2019-06-11 10:00:00,24.977222,121.537778,126,199
37,AQI1,桃園市平鎮區復興街55號,North,0.39,0.40,,1,33,epa,37,細懸浮微粒,PM25,一般,15,,1,12,6,,1,8,8,,1,12,11,,1,2.2,,1,20,Pingzhen,平鎮,,,2019-06-11 10:00:00,24.954208,121.204981,326,174
37,AQI1,桃園市中壢區延平路622號,North,1.01,1,,1,33,epa,37,細懸浮微粒,PM25,交通,19,,1,7.2,2,,1,11,16,,1,19,12,,1,2,,1,68,Zhongli,中壢,2.2,1,2019-06-11 10:00:00,24.953278,121.221667,340,174
16,AQI1,桃園市龍潭區中正路210號,North,0.27,0.20,,1,33,epa,16,懸浮微粒,PM10,一般,9.2,,1,10,6,,1,16,17,,1,ND,3,,1,1.9,,1,21,Longtan,龍潭,,,2019-06-11 10:00:00,24.863869,121.21635,344,189
17,AQI1,新竹縣湖口鄉成功路360號,Chu-Miao,0.26,0.20,,1,34,epa,17,細懸浮微粒,PM25,一般,9.4,,1,12,9,,1,11,12,,1,4,5,,1,1.4,,1,22,Hukou,湖口,,,2019-06-11 10:00:00,24.900142,121.038653,303,181
,AQI0,新竹市東區民族路33號,Chu-Miao,0.28,0.20,,1,12,epa,12,懸浮微粒,PM10,一般,11,,1,12,7,,1,10,13,,1,ND,,,1,1.1,,1,24,Hsinchu,新竹,1.8,1,2019-06-11 10:00:00,24.805619,120.972075,294,200
,AQI0,新竹縣竹東鎮榮樂里三民街70號,Chu-Miao,0.26,0.10,,1,34,epa,14,懸浮微粒,PM10,一般,9.1,,1,5.4,5,,1,11,15,,1,,,,10,1.9,,1,23,Zhudong,竹東,,,2019-06-11 10:00:00,24.740644,121.088903,312,209
17,AQI1,苗栗縣頭份市文化街20號,Chu-Miao,0.19,0.20,,1,35,epa,17,細懸浮微粒,PM25,工業,12,,1,15,10,,1,8,7,,1,4,5,,1,1.3,,1,25,Toufen,頭份,1.9,1,2019-06-11 10:00:00,24.696969,120.898572,280,219
15,AQI1,苗栗縣苗栗市縣府路100號,Chu-Miao,0.19,0.10,,1,35,epa,15,細懸浮微粒,PM25,一般,5.4,,1,16,13,,1,1,5,,1,7,5,,1,1.8,,1,26,Miaoli,苗栗,,,2019-06-11 10:00:00,24.565269,120.8202,270,239
19,AQI1,苗栗縣三義鄉西湖村上湖61-1號,Chu-Miao,,0.10,儀器校正,3,35,epa,19,臭氧八小時,O3_8hr,"背景,一般",,儀器校正,3,,20,儀器校正,3,3,5,,1,ND,2,,1,,儀器校正,3,27,Sanyi,三義,,,2019-06-11 10:00:00,24.382942,120.758833,260,271
22,AQI1,臺中市豐原區水源路150號,Central,0.22,0.10,,1,13,epa,22,細懸浮微粒,PM25,一般,7.3,,1,21,19,,1,3,7,,1,5,7,,1,1.5,,1,28,Fengyuan,豐原,1.8,1,2019-06-11 10:00:00,24.256586,120.741711,262,291
12,AQI1,臺中市沙鹿區英才路150號,Central,0.24,0.10,,1,13,epa,12,二氧化氮,NO2,一般,13,,1,15,12,,1,,5,,2,ND,1,,1,1.8,,1,29,Shalu,沙鹿,,,2019-06-11 10:00:00,24.225628,120.568794,230,291
21,AQI1,臺中市西屯區安和路1號,Central,0.18,0.20,,1,13,epa,21,細懸浮微粒,PM25,一般,12,,1,9.7,7,,1,8,12,,1,9,7,,1,2.2,,1,32,Xitun,西屯,1.8,1,2019-06-11 10:00:00,24.162197,120.616917,236,305
19,AQI1,臺中市南屯區公益路2段296號,Central,0.22,0.20,,1,13,epa,19,細懸浮微粒,PM25,一般,11,,1,11,9,,1,,7,,2,4,6,,1,0.8,,1,31,Zhongming,忠明,1.7,1,2019-06-11 10:00:00,24.151958,120.641092,247,310
12,AQI1,彰化縣線西鄉中央路2段145號,Central,0.2,0.10,,1,37,epa,12,臭氧八小時,O3_8hr,工業,,儀器校正,3,18,13,,1,2,9,,1,ND,2,,1,1,,1,34,Xianxi,線西,1.9,1,2019-06-11 10:00:00,24.131672,120.469061,214,315
14,AQI1,臺中市大里區大新街36號,Central,0.21,0.30,,1,13,epa,14,細懸浮微粒,PM25,一般,8.1,,1,15,7,,1,10,14,,1,4,4,,1,2.1,,1,30,Dali,大里,1.8,1,2019-06-11 10:00:00,24.099611,120.677689,247,320
21,AQI1,彰化縣彰化市文心街55號,Central,0.2,0.20,,1,37,epa,21,細懸浮微粒,PM25,一般,7.5,,1,17,12,,1,10,11,,1,11,6,,1,1.6,,1,33,Changhua,彰化,1.9,1,2019-06-11 10:00:00,24.066,120.541519,224,325
21,AQI1,南投縣埔里鎮西安路1段193號,Central,0.26,0.20,,1,38,epa,21,細懸浮微粒,PM25,其他,11,,1,9.3,4,,1,13,19,,1,7,7,,1,2.3,,1,72,Puli,埔里,,,2019-06-11 10:00:00,23.968842,120.967903,293,340
30,AQI1,彰化縣二林鎮江山巷1號,Central,0.14,0.10,,1,37,epa,30,細懸浮微粒,PM25,一般,4.4,,1,17,14,,1,12,13,,1,9,9,,1,1.6,,1,35,Erlin,二林,,,2019-06-11 10:00:00,23.925175,120.409653,200,352
11,AQI1,南投縣南投市南陽路269號,Central,0.39,0.20,,1,38,epa,11,懸浮微粒,PM10,一般,11,,1,4.4,4,,1,7,12,,1,3,3,,1,2.5,,1,36,Nantou,南投,1.8,1,2019-06-11 10:00:00,23.913,120.685306,252,356
15,AQI1,南投縣竹山鎮大明路666號,Central,0.11,0.10,,1,38,epa,15,懸浮微粒,PM10,一般,4.8,,1,16,5,,1,13,16,,1,ND,1,,1,1.7,,1,69,Zhushan,竹山,,,2019-06-11 10:00:00,23.756389,120.677306,247,379
14,AQI1,雲林縣崙背鄉大成路91號,Yun-Chia-Nan,0.17,0.10,,1,39,epa,14,臭氧八小時,O3_8hr,一般,4.1,,1,18,15,,1,6,7,,1,ND,1,,1,0.6,,1,38,Lunbei,崙背,,,2019-06-11 10:00:00,23.757547,120.348742,198,375
14,AQI1,雲林縣麥寮鄉中興路115號,Yun-Chia-Nan,,0.20,儀器校正,3,39,epa,14,懸浮微粒,PM10,工業,,儀器校正,3,,12,儀器校正,3,21,15,,1,2,1,,1,,儀器校正,3,83,Mailiao,麥寮,1.8,1,2019-06-11 10:00:00,23.753506,120.251825,180,383
14,AQI1,雲林縣臺西鄉五港路505號,Yun-Chia-Nan,0.15,0.10,,1,39,epa,14,臭氧八小時,O3_8hr,工業,3.8,,1,16,15,,1,10,9,,1,2,3,,1,2.2,,1,41,Taixi,臺西,1.9,1,2019-06-11 10:00:00,23.717533,120.202842,168,393
14,AQI1,雲林縣斗六市民生路224號,Yun-Chia-Nan,0.28,0.10,,1,39,epa,14,臭氧八小時,O3_8hr,一般,7.1,,1,24,15,,1,7,5,,1,ND,2,,1,1.9,,1,37,Douliu,斗六,,,2019-06-11 10:00:00,23.711853,120.544994,229,386
21,AQI1,嘉義縣新港鄉登雲路105號,Yun-Chia-Nan,0.31,0.20,,1,40,epa,21,細懸浮微粒,PM25,一般,12,,1,12,11,,1,20,15,,1,6,7,,1,4,,1,39,Xingang,新港,,,2019-06-11 10:00:00,23.554839,120.345531,195,414
35,AQI1,嘉義縣朴子市山通路11號,Yun-Chia-Nan,0.19,0.20,,1,40,epa,35,細懸浮微粒,PM25,一般,5.6,,1,15,11,,1,5,8,,1,13,11,,1,2,,1,40,Puzi,朴子,,,2019-06-11 10:00:00,23.467122,120.247811,178,429
12,AQI1,嘉義市西區新民路580號,Yun-Chia-Nan,0.18,0.10,,1,14,epa,12,臭氧八小時,O3_8hr,一般,7.8,,1,16,13,,1,10,7,,1,5,2,,1,1.2,,1,42,Chiayi,嘉義,1.7,1,2019-06-11 10:00:00,23.462778,120.440833,210,430
28,AQI1,臺南市新營區中正路4號,Yun-Chia-Nan,0.22,0.20,,1,15,epa,28,細懸浮微粒,PM25,一般,5.9,,1,16,12,,1,10,13,,1,11,9,,1,2.4,,1,43,Xinying,新營,1.9,1,2019-06-11 10:00:00,23.305633,120.31725,189,450
14,AQI1,臺南市善化區益民寮60號,Yun-Chia-Nan,0.14,0.10,,1,15,epa,14,細懸浮微粒,PM25,一般,3,,1,27,14,,1,12,12,,1,ND,4,,1,1.5,,1,44,Shanhua,善化,,,2019-06-11 10:00:00,23.115097,120.297142,186,490
22,AQI1,臺南市安南區安和路3段193號,Yun-Chia-Nan,0.26,0.20,,1,15,epa,22,懸浮微粒,PM10,一般,17,,1,8,9,,1,22,24,,1,11,4,,1,1.8,,1,45,Annan,安南,2.3,1,2019-06-11 10:00:00,23.048333,120.218333,174,500
12,AQI1,臺南市中西區南寧街45號,Yun-Chia-Nan,0.3,0.20,,1,15,epa,12,細懸浮微粒,PM25,一般,12,,1,13,10,,1,7,7,,1,4,4,,1,1.6,,1,46,Tainan,臺南,1.8,1,2019-06-11 10:00:00,22.984581,120.202617,171,512
13,AQI1,高雄市美濃區忠孝路19號,KaoPing,0.17,0.10,,1,2,epa,13,懸浮微粒,PM10,一般,3.9,,1,8.8,8,,1,16,14,,1,ND,1,,1,1.8,,1,47,Meinong,美濃,,,2019-06-11 10:00:00,22.883583,120.530542,224,530
15,AQI1,高雄市橋頭區隆豐北路1號,KaoPing,0.21,0.20,,1,2,epa,15,細懸浮微粒,PM25,背景,11,,1,11,10,,1,11,7,,1,10,5,,1,1.1,,1,48,Qiaotou,橋頭,,,2019-06-11 10:00:00,22.757506,120.305689,184,547
18,AQI1,高雄市楠梓區楠梓路262號,KaoPing,0.36,0.20,,1,2,epa,18,二氧化氮,NO2,一般,19,,1,4.5,7,,1,6,7,,1,2,4,,1,2.1,,1,53,Nanzi,楠梓,2.1,1,2019-06-11 10:00:00,22.733667,120.328289,140,588
13,AQI1,高雄市仁武區永仁街555號,KaoPing,0.32,0.20,,1,2,epa,13,二氧化氮,NO2,一般,14,,1,7.6,9,,1,11,9,,1,4,4,,1,2.4,,1,49,Renwu,仁武,2,1,2019-06-11 10:00:00,22.689056,120.332631,144,603
21,AQI1,高雄市左營區翠華路687號,KaoPing,0.86,0.40,,1,2,epa,21,二氧化氮,NO2,一般,22,,1,4.4,8,,1,12,9,,1,12,4,,1,2.9,,1,54,Zuoying,左營,2.2,1,2019-06-11 10:00:00,22.674861,120.292917,133,617
11,AQI1,屏東縣屏東市蘇州街75號,KaoPing,0.47,0.30,,1,43,epa,11,二氧化氮,NO2,一般,12,,1,9.6,10,,1,9,7,,1,ND,1,,1,2,,1,59,Pingtung,屏東,2,1,2019-06-11 10:00:00,22.673081,120.488033,216,566
22,AQI1,高雄市前金區河南二路196號,KaoPing,0.94,0.40,,1,2,epa,22,二氧化氮,NO2,一般,23,,1,5.2,8,,1,11,9,,1,3,3,,1,2.9,,1,56,Qianjin,前金,2.2,1,2019-06-11 10:00:00,22.632567,120.288086,130,631
36,AQI1,高雄市鳳山區曹公路6號,KaoPing,0.51,0.30,,1,2,epa,36,細懸浮微粒,PM25,交通,15,,1,7.1,9,,1,17,9,,1,11,11,,1,1.9,,1,50,Fengshan,鳳山,2.1,1,2019-06-11 10:00:00,22.627392,120.358083,190,566
17,AQI1,高雄市前鎮區民權二路331號,KaoPing,0.87,0.50,,1,2,epa,17,二氧化氮,NO2,交通,18,,1,4.8,9,,1,24,14,,1,4,4,,1,2.3,,1,71,Fuxing,復興,2.3,1,2019-06-11 10:00:00,22.608711,120.312017,151,648
19,AQI1,高雄市前鎮區中山三路43號,KaoPing,1.02,0.50,,1,2,epa,19,二氧化氮,NO2,工業,20,,1,3.2,8,,1,21,13,,1,ND,1,,1,2.2,,1,57,Qianzhen,前鎮,2.2,1,2019-06-11 10:00:00,22.605386,120.307564,140,653
20,AQI1,高雄市小港區平和南路185號,KaoPing,0.62,0.30,,1,2,epa,20,二氧化氮,NO2,一般,21,,1,6.4,9,,1,25,12,,1,9,5,,1,5.6,,1,58,Xiaogang,小港,2.3,1,2019-06-11 10:00:00,22.565833,120.337736,150,667
23,AQI1,高雄市大寮區潮寮路61號,KaoPing,0.42,0.20,,1,2,epa,23,細懸浮微粒,PM25,一般,16,,1,7.9,9,,1,21,13,,1,12,7,,1,3.2,,1,51,Daliao,大寮,2.2,1,2019-06-11 10:00:00,22.564136,120.425311,202,578
10,AQI1,屏東縣潮州鎮復興路66號,KaoPing,0.12,0.10,,1,43,epa,10,細懸浮微粒,PM25,一般,3.5,,1,16,10,,1,6,5,,1,3,3,,1,1.3,,1,60,Chaozhou,潮州,,,2019-06-11 10:00:00,22.523108,120.561175,229,592
14,AQI1,高雄市林園區北汕路58巷2號,KaoPing,0.25,0.20,,1,2,epa,14,臭氧八小時,O3_8hr,一般,6.3,,1,13,15,,1,27,14,,1,4,3,,1,2,,1,52,Linyuan,林園,2.1,1,2019-06-11 10:00:00,22.4795,120.41175,198,591
,AQI0,屏東縣恆春鎮公園路44號,KaoPing,,,,,43,epa,,,,"公園,一般",,,,,,,,,,,,,,,,,,,61,Hengchun,恆春,,,2019-06-11 10:00:00,21.958069,120.788928,262,685
40,AQI1,宜蘭縣宜蘭市復興路二段77號,Yilan,0.15,0.20,,1,32,epa,40,細懸浮微粒,PM25,一般,6.3,,1,9.2,8,,1,19,23,,1,13,12,,1,1.6,,1,65,Yilan,宜蘭,,,2019-06-11 10:00:00,24.747917,121.746394,416,207
38,AQI1,宜蘭縣冬山鄉照安路26號,Yilan,,0.20,儀器維護,3,32,epa,38,細懸浮微粒,PM25,一般,,儀器維護,3,,7,儀器校正,3,,28,儀器維護,3,,12,儀器維護,3,,儀器維護,3,66,Dongshan,冬山,,,2019-06-11 10:00:00,24.632203,121.792928,424,226
,AQI0,花蓮縣花蓮市中正路210號,Hua-Tung,0.26,0.30,,1,45,epa,29,細懸浮微粒,PM25,一般,6,,1,,,儀器異常,3,15,18,,1,11,9,,1,1.2,,1,63,Hualien,花蓮,,,2019-06-11 10:00:00,23.971306,121.599769,394,341
37,AQI1,臺東縣關山鎮自強路66號,Hua-Tung,-,-,,3,44,epa,37,懸浮微粒,PM10,其他,4.9,,1,3.3,3,,1,40,40,,1,8,5,,1,1.5,,1,80,Guanshan,關山,,,2019-06-11 10:00:00,23.045083,121.161933,325,501
16,AQI1,臺東縣臺東市中山路276號,Hua-Tung,0.37,0.30,,1,44,epa,16,懸浮微粒,PM10,一般,7,,1,7.9,6,,1,21,17,,1,2,4,,1,1.2,,1,62,Taitung,臺東,,,2019-06-11 10:00:00,22.755358,121.15045,322,552
47,AQI1,連江縣南竿鄉介壽村156-10號,Island,0.18,0.20,,1,47,epa,47,細懸浮微粒,PM25,一般,2.9,,1,48,40,,1,21,22,,1,15,14,,1,1.7,,1,75,Matsu,馬祖,,,2019-06-11 10:00:00,26.153611,119.9525,65,350
36,AQI1,金門縣金城鎮民權路32號,Island,0.33,0.20,,1,48,epa,36,細懸浮微粒,PM25,一般,9.7,,1,31,16,,1,21,28,,1,12,11,,1,2,,1,77,Kinmen,金門,,,2019-06-11 10:00:00,24.432133,118.312256,85,402
,AQI0,澎湖縣馬公市中正路115號,Island,0.14,0.10,,1,46,epa,20,臭氧八小時,O3_8hr,一般,6.2,,1,34,22,,1,24,,,1,ND,2,,1,1.1,,1,78,Magong,馬公,,,2019-06-11 10:00:00,23.569031,119.566158,89,490
12,AQI1,台南市麻豆區和平路9號,Mobile,,0.10,儀器校正,3,15,epa,12,臭氧八小時,O3_8hr,行動,10,,1,19,13,,1,4,8,,1,3,2,,1,0.8,,1,201,Car1,臺南(麻豆),1.9,1,2019-06-11 10:00:00,23.179047,120.245831,173,483
22,AQI1,527彰化縣大城鄉 下海漧堤防,Mobile,0.2,0.20,,1,37,epa,22,細懸浮微粒,PM25,行動,3.8,,1,20,17,,1,11,10,,1,8,7,,1,2.1,,1,202,Car2,彰化(大城),1.9,1,2019-06-11 10:00:00,23.843139,120.273117,178,361
32,AQI1,苗栗縣後龍鎮勝利路,Mobile,0.15,0.10,,1,35,epa,32,細懸浮微粒,PM25,行動,6.6,,1,18,15,,1,,6,,2,11,10,,1,0.6,,1,203,Car3,苗栗(後龍),,,2019-06-11 10:00:00,24.616369,120.786028,256,231
15,AQI1,929屏東縣琉球鄉中福村行政路12號,Mobile,0.2,0.10,,1,43,epa,15,臭氧八小時,O3_8hr,行動,5.6,,1,14,16,,1,1,8,,1,4,3,,1,1.7,,1,204,Car4,屏東(琉球),1.8,1,2019-06-11 10:00:00,22.352222,120.377222,194,624
